case_control|word|description|  //* forces case sensitive,  ~ separates variations of words ex: "video ~video,~video." will not match VideoRay
|Turns Indicator|An instrument that keeps track of the number of rotations of the ROV about its vertical axis and provides information on which direction to turn to unwind the tether|
|Umbilical|See also Tether|
|Upgrade|A newer version or the process of installing a newer version|
|USB|(Universal Serial Bus) Data protocol and connector style|
|Video ~Video,~Video.|In VideoRay context, the image from the ROV's camera or the ability to record this image|
|Video Encoder|Defines a method of storing a video image within a file format|
|Video Window|Display component that displays the video image from the camera|
|Virtual COM Port|A software feature that allows two applications on the same computer to communicate without requiring physical ports|
|Visibility|Measure of the clarity of water|
|Whip|A short length of tether attached to the ROV or User Control console|
|White Balance|Camera feature to color correct images from the camera|
|Yaw|The left or right turning attitude or motion of the ROV|
|Zoom|Camera image magnification|
